Ingredient Name,Category,Unit of Measurement,Purchase Unit,Volume,Conversion Factor,Cost Per Unit,Cost Per Usage Unit,Description,Brand,Current Stock,Minimum Stock Level,Maximum Stock Level,Reorder Point,Storage Location,Storage Temperature,Is Perishable,Shelf Life Days,Active,Available,Barcode,SKU,Notes
SODA ,BEVERAGES & BISCUITS ,BOTTLE ,BOTTLE ,750 ML ,1,15,15,,KINLEY ,0,12,24,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SODA ,BEVERAGES & BISCUITS ,BOTTLE ,BOTTLE ,300ML,1,9.17,9.17,,PEPSI,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
WATER MINERAL,BEVERAGES & BISCUITS ,BOTTLE ,BOTTLE ,1000 ML ,1,9.16,9.16,,BISLERI ,0,120,240,0,,room_temperature,FALSE,,TRUE,TRUE,,,
 WATER MINERAL,BEVERAGES & BISCUITS ,BOTTLE ,BOTTLE ,500 ML ,1,6.66,6.66,,BISLERI ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
 WATER MINERAL,BEVERAGES & BISCUITS ,BOTTLE ,BOTTLE ,250 ML ,1,5,5,,BISLERI ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BISCUIT RS 5,BEVERAGES & BISCUITS ,PACKET ,PACKET ,,1,4.54,4.54,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BISCUIT RS 10,BEVERAGES & BISCUITS ,PACKET ,PACKET ,,1,8.6,8.6,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
NAMKEEN RS 5,BEVERAGES & BISCUITS ,PACKET ,PACKET ,,1,3.95,3.95,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
NAMKEEN RS 10,BEVERAGES & BISCUITS ,PACKET ,PACKET ,,1,7.55,7.55,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MUESLI ,BEVERAGES & BISCUITS ,PACKET ,PACKET ,1000 KG ,1,602,602,,TATA ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
LAYS ,BEVERAGES & BISCUITS ,PACKET ,PACKET ,,1,9,9,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
KURKURE ,BEVERAGES & BISCUITS ,PACKET ,PACKET ,,1,9,9,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
NAMKEEN,BEVERAGES & BISCUITS ,PACKET ,PACKET ,400 GM ,1,90,90,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BISCUIT RS 25 ,BEVERAGES & BISCUITS ,PACKET ,PACKET ,,1,19,19,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
JEERA  DRINK,BEVERAGES & BISCUITS ,BOTTLE ,BOTTLE ,,1,8.67,8.67,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MUESLI ,BEVERAGES & BISCUITS ,PACKET ,PACKET ,500 GM ,1,313,313,,BAGRRY'S,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
COCA COLA,BEVERAGES & BISCUITS ,CAN,CAN,300 ML,1,40,40,,COKE,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RED BULL ENERGY DRINK,BEVERAGES & BISCUITS ,CAN,CAN,,1,92.62,92.62,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TONIC WATER,BEVERAGES & BISCUITS ,CAN,CAN,,1,46.62,46.62,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
KHUSH SHARBAT,BEVERAGES & BISCUITS ,BOTTLE,BOTTLE,1000 ML,1,227,227,,,0,1,1,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ROSE MARRY,BEVERAGES & BISCUITS ,PACKET,PACKET,250 GM,1,180,180,,,5,0,0,0,,room_temperature,FALSE,0,TRUE,TRUE,,,
ROSE SHARBAT,BEVERAGES & BISCUITS ,BOTTLE,BOTTLE,1000 ML,1,312,312,,,45,0,0,0,,room_temperature,FALSE,0,TRUE,TRUE,,,
THANDAI,BEVERAGES & BISCUITS ,BOTTLE,BOTTLE,1000 ML,1,345,345,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
KITCHEN KING ,SPICES ,PACKET ,PACKET ,100 GM ,1,63.65,63.65,,TATA ,0,10,20,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CHOLE MASALA ,SPICES ,PACKET ,PACKET ,100 GM ,1,62.31,62.31,,TATA ,0,5,7,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CHAT MASALA ,SPICES ,PACKET ,PACKET ,100 GM ,1,60.3,60.3,,TATA ,0,7,15,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MEAT MASALA ,SPICES ,PACKET ,PACKET ,100 GM ,1,65,65,,TATA ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CHICKEN MASALA ,SPICES ,PACKET ,PACKET ,100 GM ,1,65,65,,TATA ,0,10,15,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SALT ,SPICES ,PACKET ,PACKET ,1 KG ,1,25,25,,TATA ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SALT ,SPICES ,PACKET ,PACKET ,1 KG ,1,13.7,13.7,,NIRMA ,0,18,36,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SALT ,SPICES ,PACKET ,PACKET ,1 KG ,1,6.64,6.64,,TAPARIA ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SALT SANDHA,SPICES ,PACKET,PACKET,1 KG ,1,34,34,,,0,1,1,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BRIYANI MASALA ,SPICES ,PACKET ,PACKET ,50GM ,1,61,61,,CATCH ,0,2,2,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TEA MASALA ,SPICES ,PACKET ,PACKET ,50GM ,1,49,49,,CATCH ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
HING ,SPICES ,BOTTLE ,BOTTLE ,100 GM ,1,188,188,,CATCH ,0,10,15,0,,room_temperature,FALSE,,TRUE,TRUE,,,
KASHMIRI LAL RED CHILLI POWDER ,SPICES ,KG ,KG ,1000 GM ,1,640,640,,CATCH ,0,3,4,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RAJMA MASALA ,SPICES ,PACKET ,PACKET ,100 GM ,1,64,64,,CATCH ,0,3,3,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SAMBHAR MASALA ,SPICES ,PACKET ,PACKET ,100 GM ,1,88,88,,CATCH ,0,3,3,0,,room_temperature,FALSE,,TRUE,TRUE,,,
PAV BHAJI MASALA ,SPICES ,PACKET ,PACKET ,100 GM ,1,75,75,,CATCH ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
WHITE PEPPER MASALA ,SPICES ,KG ,KG ,1000 GM ,1,1500,1500,,CATCH ,0,1,1,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RASAM MASALA ,SPICES ,PACKET ,PACKET ,100 GM ,1,57,57,,FLAVARICH ,0,3,3,0,,room_temperature,FALSE,,TRUE,TRUE,,,
KASTURI METHI ,SPICES ,PACKET ,PACKET ,100 GM ,1,44,44,,PUNEET MASALA ,0,12,25,0,,room_temperature,FALSE,,TRUE,TRUE,,,
PANI PURI MASALA ,SPICES ,KG ,KG ,100 GM,1,67,67,,AMAZING ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
JEERA  ,SPICES ,KG ,KG ,1000 GM ,1,241,241,,,0,3,6,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SALT WHITE POUCH  250,SPICES ,PACKET ,PACKET ,250GM ,1,50,50,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SALT BLACK POUCH 250 ,SPICES ,PACKET ,PACKET ,250GM ,1,160,160,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
METHI SABUT ,SPICES ,KG ,KG ,1000 GM ,1,94,94,,,0,1,2,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RAI ,SPICES ,KG ,KG ,1000 GM ,1,75.6,75.6,,,0,1,1,0,,room_temperature,FALSE,,TRUE,TRUE,,,
AMCHUR ,SPICES ,KG ,KG ,1000 GM ,1,150,150,,,0,1,1,0,,room_temperature,FALSE,,TRUE,TRUE,,,
HALDI POWDER ,SPICES ,KG ,KG ,1000 GM ,1,208,208,,,0,7,15,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RED CHILLI POWDER ,SPICES ,KG ,KG ,1000 GM ,1,194,194,,,0,3,6,0,,room_temperature,FALSE,,TRUE,TRUE,,,
DHANIA POWDER ,SPICES ,KG ,KG ,1000 GM ,1,134,134,,,0,3,6,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RED CHILLI SABUT ,SPICES ,KG ,KG ,1000 GM ,1,169,169,,,0,2,3,0,,room_temperature,FALSE,,TRUE,TRUE,,,
DHANIA SABUT ,SPICES ,KG ,KG ,1000 GM ,1,93,93,,,0,2,3,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BLACK PEPPER ,SPICES ,KG ,KG ,1000 GM ,1,360,360,,,0,1,1,0,,room_temperature,FALSE,,TRUE,TRUE,,,
DAL CHINI ,SPICES ,KG ,KG ,1000 GM ,1,260,260,,,0,0.5,0.5,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ELACHI BIG ,SPICES ,KG ,KG ,1000 GM ,1,1950,1950,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
STAR PHOOL ,SPICES ,KG ,KG ,1000 GM ,1,380,380,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TEZ PATA ,SPICES ,KG ,KG ,1000 GM ,1,100,100,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
ELACHI HARI ,SPICES ,KG ,KG ,1000 GM ,1,3200,3200,,,0,0.2,0.2,0,,room_temperature,FALSE,,TRUE,TRUE,,,
KALONJI,SPICES ,KG,KG,1000 GM,1,266.77,266.77,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
LONG,SPICES ,KG,KG,1000 GM,1,780,780,,,0,0.2,0.3,0,,room_temperature,FALSE,,TRUE,TRUE,,,
JAVETRI,SPICES ,KG,KG,1000 GM,1,1872,1872,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BLACK SALT ,SPICES ,KG ,KG ,1000 GM ,1,30,30,,,0,1,1,0,,room_temperature,FALSE,,TRUE,TRUE,,,
KHADA MASALA ,SPICES ,KG ,KG ,1000 GM ,1,1256,1256,,,0,2,3,0,,room_temperature,FALSE,,TRUE,TRUE,,,
AROMAT SEASONING POWDER,SPICES ,PACKET,PACKET,500 GM,1,215,215,,KNORR,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BILECHING POWDER,SPICES ,PACKET,PACKET,1000 GM,1,32.06,32.06,,,0,5,5,0,,room_temperature,FALSE,,TRUE,TRUE,,,
PERI PERI MASALA,SPICES ,PACKET,PACKET,100 GM,1,150,150,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SUGAR LOOSE ,SUGAR ,KG ,KG ,1000 GM ,1,43.5,43.5,,,0,50,60,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SUGAR CANDY ,SUGAR ,KG ,KG ,1000 GM ,1,54,54,,,0,2,2,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SUGAR CUBE ,SUGAR ,KG ,KG ,500 GM ,1,48,48,,DAURALA ,0,2,4,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SUGAR FREE,SUGAR ,PACKET,PACKET,.75 GM,1,100,100,,,0,1,1,0,,room_temperature,FALSE,,TRUE,TRUE,,,
STAFF RICE ,RICE ,KG ,KG ,1000 GM ,1,36,36,,,0,60,90,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BRIYANI RICE 48 NO.,RICE ,KG ,KG ,1000 GM ,1,64.5,64.5,,AMEENA ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BRIYANI RICE 52 NO.,RICE ,KG,KG,1000 GM,1,67.74,67.74,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
GUEST RICE ,RICE ,KG ,KG ,1000 GM ,1,43,43,,JEEBA ,0,60,90,0,,room_temperature,FALSE,,TRUE,TRUE,,,
DOSA KANI ,RICE ,KG ,KG ,1000 GM ,1,35,35,,JEEBA ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
DAWAT RICE ,RICE ,KG,KG,1000 GM ,1,99.75,99.75,,JASAL A ONE ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BRIYANI RICE  ,RICE ,KG,KG,1000 GM ,1,68.5,68.5,,INDIA GATE ,0,30,30,0,,room_temperature,FALSE,,TRUE,TRUE,,,
REGULAR CHOICE RICE ,RICE ,KG,KG,1000 GM ,1,74.2,74.2,,INDIA GATE ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MUSHROOM BUTTON ,TIN ,TIN ,TIN ,800 GM ,1,86.45,86.45,,FRUTINS,0,10,10,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MUSHROOM SLICE ,TIN ,TIN ,TIN ,800 GM ,1,58.3,58.3,,FRUTINS,0,5,10,0,,room_temperature,FALSE,,TRUE,TRUE,,,
PINEAPPLE SLICE ,TIN ,TIN,TIN,840 GM ,1,85.87,85.87,,FRUTINS,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
FRUIT COCKTAIL ,TIN ,TIN,TIN,840 GM ,1,85.87,85.87,,FRUTINS,0,4,4,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TOMATO PUREE,TIN ,TIN,TIN,825 GM,1,47.83,47.83,,FRUTINS,0,15,30,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RED CHEERIES ,TIN ,TIN,TIN,830 GM ,1,107.8,107.8,,FRUTINS,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BABY CORN,TIN ,TIN,TIN,400 GM ,1,47.11,47.11,,FRUTINS,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
COCONUT MILK ,TIN ,TIN,TIN,400 ML,1,155,155,,FRUTINS,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BAMBOO SHOOT,TIN ,TIN,TIN,800 GM ,1,77,77,,FRUTINS,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SWEET CORN CREAM STYLE ,TIN ,TIN,TIN,440 GM ,1,29.33,29.33,,FRUTINS,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
CHIPO.PAPEER IN ADOBA SAUCE2.8,TIN ,TIN ,TIN ,2800 GM,1,2156,2156,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RED CHERRIES SYRUP,TIN ,TIN ,TIN ,830 GM ,1,91.65,91.65,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
GREEN CHILLI SAUCE,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,680 GM,1,45,45,,CHINGH,0,4,4,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RED CHILLI SAUCE,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,680 GM,1,45,45,,CHINGH,0,4,4,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SOYA SAUCE  ,"SAUCE, JAM AND PICKLE  ",BOTTLE,BOTTLE,750 GM,1,45,45,,CHINGH,0,2,2,0,,room_temperature,FALSE,,TRUE,TRUE,,,
GREEN CHILLI SAUCE  ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,4500 GM ,1,235,235,,EVERPLUS ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
RED CHILLI SAUCE  ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,4500 GM ,1,235,235,,EVERPLUS ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TOMYOM SAUCE,"SAUCE, JAM AND PICKLE  ",BOTTLE,BOTTLE,1000 GM,1,470,470,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
SOYA SAUCE  ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,5000 GM ,1,235,235,,EVERPLUS ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
BARBECUS SAUCE,"SAUCE, JAM AND PICKLE  ",BOTTLE,BOTTLE,510 GM,1,229.41,229.41,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
WORSTERD SAUCE,"SAUCE, JAM AND PICKLE  ",BOTTLE,BOTTLE,750 GM,1,51.41,51.41,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MIX PICKLE ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,5000 GM ,1,245,245,,EVERPLUS ,0,5,5,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MIX JAM ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,4500 GM ,1,350,350,,EVERPLUS ,0,5,5,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TOMATO KETCHUP ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,1200 GM ,1,82,82,,DR OETKER ,0,4,8,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TOMATO KETCHUP ,"SAUCE, JAM AND PICKLE  ",PACKET,PACKET,2000 GM,1,190,190,,KISHAN,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TOMATO KETCHUP,"SAUCE, JAM AND PICKLE  ",PACKET,PACKET,5000 GM ,1,230,230,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TOMATO KETCHUP POUCS,"SAUCE, JAM AND PICKLE  ",PACKET,PACKET,100 PC,1,65,65,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MIX PICKLE ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,950 GM ,1,114,114,,EVEREST ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
GREEN CHILLI PICKLE ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,950 GM ,1,170,170,,EVEREST ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
8 TO 8 SAUCE ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,200 GM ,1,80,80,,GOLDEN CROWN ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
PERI PERI MAYO VIBA,"SAUCE, JAM AND PICKLE  ",PACKET,PACKET,1000 GM,1,185,185,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
TANDOORI MAYONISE CREAM,"SAUCE, JAM AND PICKLE  ",PACKET,PACKET,1000 GM,1,190,190,,,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
MAYONISE CREAM ,"SAUCE, JAM AND PICKLE  ",PACKET ,PACKET ,1000 GM ,1,100,100,,DR OETKER ,0,2,2,0,,room_temperature,FALSE,,TRUE,TRUE,,,
OYSTER SAUCE ,"SAUCE, JAM AND PICKLE  ",BOTTLE ,BOTTLE ,510 GM ,1,225,225,,LEE KUM KEE ,0,0,0,0,,room_temperature,FALSE,,TRUE,TRUE,,,
